5,1
8,1
11,2
13,5
14,6
15,14
16,27
17,45
18,81
19,133
20,121
21,98
22,110
23,94
24,96
25,97
26,104
27,98
28,94
29,92
30,83
31,86
32,70
33,86
34,78
35,73
36,83
37,73
38,66
39,69
40,55
41,60
42,72
43,70
44,51
45,61
46,48
47,57
48,54
49,50
50,46
51,43
52,49
53,52
54,40
55,40
56,48
57,46
58,38
59,46
60,39
61,48
62,31
63,40
64,34
65,27
66,28
67,38
68,38
69,35
70,31
71,28
72,42
73,29
74,26
75,27
76,27
77,26
78,34
79,28
80,23
81,33
82,27
83,22
84,20
85,26
86,32
87,27
88,23
89,19
90,31
91,16
92,19
93,27
94,21
95,17
96,21
97,16
98,17
99,14
100,19
101,12
102,19
103,21
104,17
105,18
106,20
107,20
108,16
109,17
110,14
111,11
112,13
113,16
114,7
115,12
116,9
117,9
118,10
119,14
120,15
121,14
122,14
123,7
124,12
125,19
126,15
127,11
128,11
129,9
130,8
131,15
132,12
133,12
134,11
135,11
136,8
137,11
138,7
139,11
140,13
141,5
142,7
143,9
144,7
145,7
146,14
147,5
148,9
149,6
150,6
151,5
152,8
153,8
154,6
155,4
156,9
157,5
158,9
159,6
160,4
161,6
162,6
163,4
164,6
165,1
166,4
167,4
168,5
169,6
170,5
171,3
172,3
173,5
174,4
175,5
176,6
177,3
178,3
179,5
180,7
181,4
182,3
183,2
184,2
185,7
186,3
187,3
188,2
189,3
190,4
191,4
193,1
194,5
195,1
197,2
198,3
199,2
200,2
201,1
202,1
203,4
204,4
205,3
206,3
207,2
208,1
212,2
213,2
214,2
215,2
216,1
217,3
218,2
219,5
220,4
222,1
224,1
225,2
227,1
228,4
229,4
230,3
231,1
233,1
234,1
235,1
237,1
238,2
239,1
241,2
242,2
243,1
244,1
246,2
247,1
248,3
250,1
252,1
253,1
254,3
255,1
256,2
257,2
258,1
259,2
260,1
261,2
262,3
264,1
265,4
271,1
272,3
283,1
285,1
289,1
290,1
293,1
295,1
296,1
303,1
305,1
306,1
313,1
314,1
317,1
319,1
321,1
322,1
329,1
331,1
332,2
333,1
335,1
336,2
342,1
344,2
351,1
354,2
368,1
373,1
376,1
385,1
387,2
395,1
397,1
409,1
412,1
418,1
421,1
426,1
439,1
490,1
532,1
769,1
